app_type,tx_datetime,requests
clean app,2018-06-22T00:00:00,444
clean app,2018-06-22T00:01:00,404
clean app,2018-06-22T00:02:00,382
clean app,2018-06-22T00:03:00,389
clean app,2018-06-22T00:04:00,391
clean app,2018-06-22T00:05:00,422
clean app,2018-06-22T00:06:00,411
clean app,2018-06-22T00:07:00,388
clean app,2018-06-22T00:08:00,451
clean app,2018-06-22T00:09:00,399
clean app,2018-06-22T00:10:00,405
clean app,2018-06-22T00:11:00,374
clean app,2018-06-22T00:12:00,394
clean app,2018-06-22T00:13:00,350
clean app,2018-06-22T00:14:00,354
clean app,2018-06-22T00:15:00,354
clean app,2018-06-22T00:16:00,411
clean app,2018-06-22T00:17:00,379
clean app,2018-06-22T00:18:00,418
clean app,2018-06-22T00:19:00,417
clean app,2018-06-22T00:20:00,401
clean app,2018-06-22T00:21:00,384
clean app,2018-06-22T00:22:00,328
clean app,2018-06-22T00:23:00,379
clean app,2018-06-22T00:24:00,382
clean app,2018-06-22T00:25:00,454
clean app,2018-06-22T00:26:00,390
clean app,2018-06-22T00:27:00,417
clean app,2018-06-22T00:28:00,408
clean app,2018-06-22T00:29:00,341
clean app,2018-06-22T00:30:00,417
clean app,2018-06-22T00:31:00,397
clean app,2018-06-22T00:32:00,371
clean app,2018-06-22T00:33:00,395
clean app,2018-06-22T00:34:00,358
clean app,2018-06-22T00:35:00,406
clean app,2018-06-22T00:36:00,405
clean app,2018-06-22T00:37:00,391
clean app,2018-06-22T00:38:00,401
clean app,2018-06-22T00:39:00,360
clean app,2018-06-22T00:40:00,403
clean app,2018-06-22T00:41:00,366
clean app,2018-06-22T00:42:00,376
clean app,2018-06-22T00:43:00,332
clean app,2018-06-22T00:44:00,455
clean app,2018-06-22T00:45:00,368
clean app,2018-06-22T00:46:00,325
clean app,2018-06-22T00:47:00,342
clean app,2018-06-22T00:48:00,354
clean app,2018-06-22T00:49:00,384
clean app,2018-06-22T00:50:00,380
clean app,2018-06-22T00:51:00,388
clean app,2018-06-22T00:52:00,364
clean app,2018-06-22T00:53:00,409
clean app,2018-06-22T00:54:00,383
clean app,2018-06-22T00:55:00,416
