tx_datetime;type;requests
01.01.2018 0:00;mean;65091
01.01.2018 1:00;mean;64668
01.01.2018 2:00;mean;62761
01.01.2018 3:00;mean;69425
01.01.2018 4:00;mean;69114
01.01.2018 5:00;mean;65774
01.01.2018 6:00;mean;58054
01.01.2018 7:00;mean;58615
01.01.2018 8:00;mean;58625
01.01.2018 9:00;mean;59828
01.01.2018 10:00;mean;63054
01.01.2018 11:00;mean;64146
01.01.2018 12:00;mean;61785
01.01.2018 13:00;mean;63438
01.01.2018 14:00;mean;64832
01.01.2018 15:00;mean;66408
01.01.2018 16:00;mean;66248
01.01.2018 17:00;mean;68508
01.01.2018 18:00;mean;65419
01.01.2018 19:00;mean;68257
01.01.2018 20:00;mean;65568
01.01.2018 21:00;mean;67554
01.01.2018 22:00;mean;65227
01.01.2018 23:00;mean;142260
02.01.2018 0:00;mean;163408
02.01.2018 1:00;mean;162376
02.01.2018 2:00;mean;163330
02.01.2018 3:00;mean;161690
02.01.2018 4:00;mean;160555
02.01.2018 5:00;mean;153104
02.01.2018 6:00;mean;151283
02.01.2018 7:00;mean;144001
02.01.2018 8:00;mean;155910
02.01.2018 9:00;mean;129730
02.01.2018 10:00;mean;136529
02.01.2018 11:00;mean;135478
02.01.2018 12:00;mean;147019
02.01.2018 13:00;mean;138371
02.01.2018 14:00;mean;135232
02.01.2018 15:00;mean;135682
02.01.2018 16:00;mean;136485
02.01.2018 17:00;mean;135443
02.01.2018 18:00;mean;130877
02.01.2018 19:00;mean;125536
02.01.2018 20:00;mean;128287
02.01.2018 21:00;mean;134244
02.01.2018 22:00;mean;138867
02.01.2018 23:00;mean;137006
01.01.2018 0:00;variance;145782
01.01.2018 1:00;variance;145088
01.01.2018 2:00;variance;144230
01.01.2018 3:00;variance;138778
01.01.2018 4:00;variance;132153
01.01.2018 5:00;variance;129960
01.01.2018 6:00;variance;122615
01.01.2018 7:00;variance;119338
01.01.2018 8:00;variance;113605
01.01.2018 9:00;variance;108633
01.01.2018 10:00;variance;104148
01.01.2018 11:00;variance;100585
01.01.2018 12:00;variance;100202
01.01.2018 13:00;variance;98788
01.01.2018 14:00;variance;98546
01.01.2018 15:00;variance;97691
01.01.2018 16:00;variance;97099
01.01.2018 17:00;variance;98863
01.01.2018 18:00;variance;100880
01.01.2018 19:00;variance;102211
01.01.2018 20:00;variance;101609
01.01.2018 21:00;variance;104651
01.01.2018 22:00;variance;108388
01.01.2018 23:00;variance;113398
02.01.2018 0:00;variance;137876
02.01.2018 1:00;variance;138590
02.01.2018 2:00;variance;138411
02.01.2018 3:00;variance;140355
02.01.2018 4:00;variance;131782
02.01.2018 5:00;variance;125895
02.01.2018 6:00;variance;122002
02.01.2018 7:00;variance;116398
02.01.2018 8:00;variance;110622
02.01.2018 9:00;variance;106055
02.01.2018 10:00;variance;100806
02.01.2018 11:00;variance;97946
02.01.2018 12:00;variance;94531
02.01.2018 13:00;variance;94218
02.01.2018 14:00;variance;91852
02.01.2018 15:00;variance;93287
02.01.2018 16:00;variance;94417
02.01.2018 17:00;variance;91518
02.01.2018 18:00;variance;91704
02.01.2018 19:00;variance;91125
02.01.2018 20:00;variance;92543
02.01.2018 21:00;variance;94983
02.01.2018 22:00;variance;99366
02.01.2018 23:00;variance;103800
03.01.2018 0:00;variance;124270
