change_point_type,event_hourly_time,impressions
period,2018-01-22 00:00:00,17513
period,2018-01-22 01:00:00,11844
period,2018-01-22 02:00:00,9305
period,2018-01-22 03:00:00,9673
period,2018-01-22 04:00:00,12006
period,2018-01-22 05:00:00,17809
period,2018-01-22 06:00:00,25477
period,2018-01-22 07:00:00,48445
period,2018-01-22 08:00:00,60852
period,2018-01-22 09:00:00,66386
period,2018-01-22 10:00:00,69014
period,2018-01-22 11:00:00,69298
period,2018-01-22 12:00:00,70475
period,2018-01-22 13:00:00,70829
period,2018-01-22 14:00:00,74009
period,2018-01-22 15:00:00,71559
period,2018-01-22 16:00:00,72422
period,2018-01-22 17:00:00,73983
period,2018-01-22 18:00:00,78902
period,2018-01-22 19:00:00,78918
period,2018-01-22 20:00:00,75400
period,2018-01-22 21:00:00,63723
period,2018-01-22 22:00:00,48236
period,2018-01-22 23:00:00,28279
period,2018-01-23 00:00:00,16540
period,2018-01-23 01:00:00,10958
period,2018-01-23 02:00:00,9168
period,2018-01-23 03:00:00,9952
period,2018-01-23 04:00:00,12011
period,2018-01-23 05:00:00,17517
period,2018-01-23 06:00:00,24885
period,2018-01-23 07:00:00,48926
period,2018-01-23 08:00:00,63060
period,2018-01-23 09:00:00,68640
period,2018-01-23 10:00:00,71070
period,2018-01-23 11:00:00,69906
period,2018-01-23 12:00:00,68797
period,2018-01-23 13:00:00,70851
period,2018-01-23 14:00:00,71720
period,2018-01-23 15:00:00,72114
period,2018-01-23 16:00:00,72442
period,2018-01-23 17:00:00,74422
period,2018-01-23 18:00:00,77208
period,2018-01-23 19:00:00,78087
period,2018-01-23 20:00:00,76152
period,2018-01-23 21:00:00,65383
period,2018-01-23 22:00:00,47820
period,2018-01-23 23:00:00,27692
period,2018-01-24 00:00:00,16140
period,2018-01-24 01:00:00,11360
period,2018-01-24 02:00:00,9940
period,2018-01-24 03:00:00,10767
period,2018-01-24 04:00:00,12174
period,2018-01-24 05:00:00,17383
period,2018-01-24 06:00:00,26017
period,2018-01-24 07:00:00,51486
period,2018-01-24 08:00:00,65547
period,2018-01-24 09:00:00,72229
period,2018-01-24 10:00:00,75072
period,2018-01-24 11:00:00,73369
period,2018-01-24 12:00:00,72222
period,2018-01-24 13:00:00,72448
period,2018-01-24 14:00:00,72180
period,2018-01-24 15:00:00,72426
period,2018-01-24 16:00:00,73622
period,2018-01-24 17:00:00,74126
period,2018-01-24 18:00:00,71041
period,2018-01-24 19:00:00,83265
period,2018-01-24 20:00:00,74525
period,2018-01-24 21:00:00,63083
period,2018-01-24 22:00:00,46326
period,2018-01-24 23:00:00,26899
period,2018-01-25 00:00:00,16397
period,2018-01-25 01:00:00,10658
period,2018-01-25 02:00:00,9298
period,2018-01-25 03:00:00,9922
period,2018-01-25 04:00:00,12350
period,2018-01-25 05:00:00,17893
period,2018-01-25 06:00:00,25457
period,2018-01-25 07:00:00,51692
period,2018-01-25 08:00:00,66281
period,2018-01-25 09:00:00,72655
period,2018-01-25 10:00:00,73829
period,2018-01-25 11:00:00,72594
period,2018-01-25 12:00:00,71031
period,2018-01-25 13:00:00,71362
period,2018-01-25 14:00:00,72133
period,2018-01-25 15:00:00,73323
period,2018-01-25 16:00:00,72973
period,2018-01-25 17:00:00,75052
period,2018-01-25 18:00:00,81704
period,2018-01-25 19:00:00,81562
period,2018-01-25 20:00:00,78192
period,2018-01-25 21:00:00,66451
period,2018-01-25 22:00:00,48055
period,2018-01-25 23:00:00,28055
period,2018-01-26 00:00:00,17012
period,2018-01-26 01:00:00,11243
period,2018-01-26 02:00:00,9159
period,2018-01-26 03:00:00,10346
period,2018-01-26 04:00:00,12029
period,2018-01-26 05:00:00,17990
period,2018-01-26 06:00:00,25614
period,2018-01-26 07:00:00,51132
period,2018-01-26 08:00:00,65547
period,2018-01-26 09:00:00,72273
period,2018-01-26 10:00:00,74356
period,2018-01-26 11:00:00,73863
period,2018-01-26 12:00:00,71851
period,2018-01-26 13:00:00,72972
period,2018-01-26 14:00:00,75829
period,2018-01-26 15:00:00,75900
period,2018-01-26 16:00:00,74820
period,2018-01-26 17:00:00,78418
period,2018-01-26 18:00:00,80099
period,2018-01-26 19:00:00,80141
period,2018-01-26 20:00:00,77481
period,2018-01-26 21:00:00,64855
period,2018-01-26 22:00:00,56435
period,2018-01-26 23:00:00,33226
period,2018-01-27 00:00:00,19657
period,2018-01-27 01:00:00,12383
period,2018-01-27 02:00:00,10614
period,2018-01-27 03:00:00,10758
period,2018-01-27 04:00:00,12139
period,2018-01-27 05:00:00,17509
period,2018-01-27 06:00:00,24513
period,2018-01-27 07:00:00,46731
period,2018-01-27 08:00:00,71500
period,2018-01-27 09:00:00,91257
period,2018-01-27 10:00:00,98688
period,2018-01-27 11:00:00,97130
period,2018-01-27 12:00:00,91756
period,2018-01-27 13:00:00,86557
period,2018-01-27 14:00:00,79942
period,2018-01-27 15:00:00,76266
period,2018-01-27 16:00:00,75517
period,2018-01-27 17:00:00,76163
period,2018-01-27 18:00:00,75914
period,2018-01-27 19:00:00,71810
period,2018-01-27 20:00:00,68174
period,2018-01-27 21:00:00,66298
period,2018-01-27 22:00:00,62851
period,2018-01-27 23:00:00,35190
period,2018-01-28 00:00:00,22304
period,2018-01-28 01:00:00,14400
period,2018-01-28 02:00:00,10643
period,2018-01-28 03:00:00,11122
period,2018-01-28 04:00:00,12251
period,2018-01-28 05:00:00,16536
period,2018-01-28 06:00:00,22153
period,2018-01-28 07:00:00,41160
period,2018-01-28 08:00:00,66714
period,2018-01-28 09:00:00,89341
period,2018-01-28 10:00:00,103437
period,2018-01-28 11:00:00,100736
period,2018-01-28 12:00:00,95210
period,2018-01-28 13:00:00,90497
period,2018-01-28 14:00:00,85420
period,2018-01-28 15:00:00,82332
period,2018-01-28 16:00:00,79572
period,2018-01-28 17:00:00,78546
period,2018-01-28 18:00:00,77250
period,2018-01-28 19:00:00,75733
period,2018-01-28 20:00:00,69432
period,2018-01-28 21:00:00,59445
period,2018-01-28 22:00:00,45180
period,2018-01-28 23:00:00,28095
mean,2017-12-28 00:00:00,21491
mean,2017-12-28 01:00:00,21822
mean,2017-12-28 02:00:00,23855
mean,2017-12-28 03:00:00,25502
mean,2017-12-28 04:00:00,28226
mean,2017-12-28 05:00:00,27313
mean,2017-12-28 06:00:00,23529
mean,2017-12-28 07:00:00,15989
mean,2017-12-28 08:00:00,9394
mean,2017-12-28 09:00:00,5156
mean,2017-12-28 10:00:00,3207
mean,2017-12-28 11:00:00,2137
mean,2017-12-28 12:00:00,2309
mean,2017-12-28 13:00:00,3712
mean,2017-12-28 14:00:00,6320
